scene_id,cloudy,clear,split
R051_T31TDM_161,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R051_T31TDM\161.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R051_T31TDM\161.tif,train
R116_T55HCC_362,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R116_T55HCC\362.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R116_T55HCC\362.tif,train
R046_T54WWC_633,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R046_T54WWC\633.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R046_T54WWC\633.tif,train
R056_T10UFB_687,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R056_T10UFB\687.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R056_T10UFB\687.tif,train
R049_T38QNL_204,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R049_T38QNL\204.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R049_T38QNL\204.tif,train
R035_T35LQJ_565,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R035_T35LQJ\565.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R035_T35LQJ\565.tif,train
R133_T48VWP_577,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R133_T48VWP\577.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R133_T48VWP\577.tif,train
R119_T46VDH_242,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R119_T46VDH\242.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R119_T46VDH\242.tif,train
R056_T10UFB_263,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R056_T10UFB\263.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R056_T10UFB\263.tif,train
R107_T37VCC_523,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R107_T37VCC\523.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R107_T37VCC\523.tif,train
R046_T54WWC_751,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R046_T54WWC\751.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R046_T54WWC\751.tif,train
R019_T43PGQ_326,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R019_T43PGQ\326.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R019_T43PGQ\326.tif,train
R122_T33UWQ_64,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R122_T33UWQ\64.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R122_T33UWQ\64.tif,train
R018_T49UFT_585,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R018_T49UFT\585.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R018_T49UFT\585.tif,train
R007_T33LUC_654,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R007_T33LUC\654.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R007_T33LUC\654.tif,train
R121_T34JCM_420,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R121_T34JCM\420.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R121_T34JCM\420.tif,train
R055_T13SGT_462,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R055_T13SGT\462.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R055_T13SGT\462.tif,train
R113_T10SFJ_200,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R113_T10SFJ\200.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R113_T10SFJ\200.tif,train
R110_T20KQB_570,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R110_T20KQB\570.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R110_T20KQB\570.tif,train
R018_T49UFT_462,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R018_T49UFT\462.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R018_T49UFT\462.tif,train
R105_T44SMG_580,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R105_T44SMG\580.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R105_T44SMG\580.tif,train
R060_T53UMP_403,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R060_T53UMP\403.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R060_T53UMP\403.tif,train
R120_T41RKQ_84,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R120_T41RKQ\84.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R120_T41RKQ\84.tif,train
R018_T48RXT_758,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R018_T48RXT\758.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R018_T48RXT\758.tif,train
R136_T33QVC_385,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R136_T33QVC\385.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R136_T33QVC\385.tif,train
R045_T53JKF_660,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R045_T53JKF\660.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R045_T53JKF\660.tif,train
R056_T10UFB_693,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R056_T10UFB\693.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R056_T10UFB\693.tif,train
R070_T12WXS_582,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R070_T12WXS\582.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R070_T12WXS\582.tif,train
R124_T22LDP_55,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R124_T22LDP\55.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R124_T22LDP\55.tif,train
R122_T33UWQ_233,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R122_T33UWQ\233.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R122_T33UWQ\233.tif,train
R051_T30SXJ_305,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R051_T30SXJ\305.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R051_T30SXJ\305.tif,train
R137_T29SPS_44,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R137_T29SPS\44.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R137_T29SPS\44.tif,train
R008_T30RYV_479,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R008_T30RYV\479.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R008_T30RYV\479.tif,train
R070_T12WXS_721,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R070_T12WXS\721.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R070_T12WXS\721.tif,train
R136_T33QVC_118,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R136_T33QVC\118.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R136_T33QVC\118.tif,train
R108_T31SEA_210,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R108_T31SEA\210.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R108_T31SEA\210.tif,train
R075_T50TMK_544,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R075_T50TMK\544.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R075_T50TMK\544.tif,train
R056_T10UFB_147,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R056_T10UFB\147.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R056_T10UFB\147.tif,train
R051_T29PPP_676,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R051_T29PPP\676.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R051_T29PPP\676.tif,train
R070_T12WXS_632,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R070_T12WXS\632.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R070_T12WXS\632.tif,train
R053_T20LMR_12,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R053_T20LMR\12.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R053_T20LMR\12.tif,train
R121_T34JCM_540,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R121_T34JCM\540.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R121_T34JCM\540.tif,train
R005_T48XWK_753,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R005_T48XWK\753.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R005_T48XWK\753.tif,train
R121_T36QTD_666,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R121_T36QTD\666.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R121_T36QTD\666.tif,train
R073_T55KGP_446,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R073_T55KGP\446.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R073_T55KGP\446.tif,train
R019_T43PGQ_457,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R019_T43PGQ\457.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R019_T43PGQ\457.tif,train
R121_T34JCM_719,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R121_T34JCM\719.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R121_T34JCM\719.tif,train
R056_T10UFB_645,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R056_T10UFB\645.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R056_T10UFB\645.tif,train
R120_T41RKQ_216,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R120_T41RKQ\216.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R120_T41RKQ\216.tif,train
R051_T30SXJ_532,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R051_T30SXJ\532.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R051_T30SXJ\532.tif,train
R081_T22JDP_251,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R081_T22JDP\251.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R081_T22JDP\251.tif,train
R110_T20KQB_351,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R110_T20KQB\351.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R110_T20KQB\351.tif,train
R051_T30SXJ_247,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R051_T30SXJ\247.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R051_T30SXJ\247.tif,train
R051_T30SXJ_333,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R051_T30SXJ\333.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R051_T30SXJ\333.tif,train
R122_T33UWQ_257,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R122_T33UWQ\257.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R122_T33UWQ\257.tif,train
R033_T46TDK_426,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R033_T46TDK\426.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R033_T46TDK\426.tif,train
R133_T48VWP_109,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R133_T48VWP\109.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R133_T48VWP\109.tif,train
R108_T31SEA_530,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R108_T31SEA\530.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R108_T31SEA\530.tif,train
R092_T37PFR_249,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R092_T37PFR\249.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R092_T37PFR\249.tif,train
R075_T50TMK_583,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R075_T50TMK\583.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R075_T50TMK\583.tif,train
R003_T52SCF_511,C:\Users\Chaitanya\Downloads\train\cloudDNclips\10m\R003_T52SCF\511.tif,C:\Users\Chaitanya\Downloads\train\clearDNclips\10m\R003_T52SCF\511.tif,train
